City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,nevada,39.2502,-116.7512,3.63,17,41,3.52,US,1710002786
280,bardai,11.65,7.2333,35.74,9,68,3.33,NG,1710002787
281,fort mcmurray,56.7268,-111.381,-0.23,55,0,3.6,CA,1710002787
282,kristiansund,63.1115,7.732,4.03,55,40,2.06,NO,1710002296
283,siguiri,11.6667,-9.5,40.18,9,46,2.07,GN,1710002787
284,tres rios,-22.1167,-43.2092,30.1,77,87,1.66,BR,1710002787
285,chioggia,45.2256,12.2889,11.77,87,99,3.58,IT,1710002787
286,namibe,-15.1961,12.1522,26.26,79,97,4.58,AO,1710002219
287,weno,7.4515,151.8468,27.97,89,75,3.6,FM,1710002304
288,villa de soto,-30.8552,-64.9995,31.89,30,7,7.51,AR,1710002788
289,inari,68.906,27.0288,2.11,95,61,1.65,FI,1710002788
290,kigoma,-4.8769,29.6267,25.09,74,97,1.71,TZ,1710002788
291,hammerfest,70.6634,23.6821,3.25,100,75,5.14,NO,1710002273
292,borisoglebskiy,57.2586,39.1508,-11.68,96,100,2.12,RU,1710002788
293,egilsstadir,65.2653,-14.3948,3.95,75,75,5.14,IS,1710002788
294,nagqu,31.5,92.0,-5.93,12,21,2.74,CN,1710002788
295,dryden,49.7833,-92.7503,-6.84,68,20,3.09,CA,1710002291
296,inarajan village,13.2736,144.7484,26.08,94,64,7.53,GU,1710002789
297,broome,42.2506,-75.833,6.61,83,100,7.6,US,1710002789
298,yamba,-5.9,22.3,25.58,83,100,1.16,CD,1710002789
299,kutum,14.2,24.6667,27.33,9,8,4.17,SD,1710002789
300,ulundi,-28.3352,31.4162,22.34,82,5,3.19,ZA,1710002789
301,bonthe,7.5264,-12.505,28.94,73,69,4.38,SL,1710002277
302,ustka,54.5805,16.8619,4.25,63,1,5.29,PL,1710002789
303,makanya,-4.3667,37.8333,27.05,63,95,2.54,TZ,1710002790
304,cockburn town,21.4612,-71.1419,25.48,79,3,6.1,TC,1710002234
305,fabens,31.5023,-106.1586,8.97,47,7,6.81,US,1710002790
306,sao vicente,-23.9631,-46.3919,34.1,66,20,2.24,BR,1710002295
307,stanley,54.868,-1.6985,5.99,90,75,5.14,GB,1710002233
308,borogontsy,62.6683,131.1683,-30.38,100,99,1.24,RU,1710002790
309,mumford,5.2618,-0.759,28.16,82,100,5.59,GH,1710002790
310,ribeira brava,32.65,-17.0667,21.35,76,50,8.4,PT,1710002791
311,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,85,75,3.58,RU,1710002229
312,samana,19.2056,-69.3369,30.12,79,20,3.09,DO,1710002791
313,ismayilli,40.779,48.1638,5.4,81,89,0.74,AZ,1710002791
314,touros,-5.1989,-35.4608,31.05,59,26,5.54,BR,1710002791
315,pisco,-13.7,-76.2167,26.68,69,0,3.6,PE,1710002791
316,figueres,42.2664,2.9616,11.46,90,100,1.79,ES,1710002791
317,mokrous,51.2333,47.5167,-3.03,95,96,4.27,RU,1710002792
318,kuqa,41.7278,82.9364,7.37,38,20,0.95,CN,1710002792
319,kalemie,-5.9475,29.1947,24.1,79,95,0.86,CD,1710002792
320,kargat,55.1956,80.2811,-8.55,98,99,2.99,RU,1710002792
321,keflavik,64.0049,-22.5624,7.95,81,75,11.32,IS,1710002240
322,astrakhan,46.3497,48.0408,-0.07,64,0,2.0,RU,1710002792
323,urucara,-2.5364,-57.76,27.7,74,100,2.15,BR,1710002792
324,taoudenni,22.6783,-3.9836,32.99,7,78,3.67,ML,1710002276
325,mount gambier,-37.8333,140.7667,22.36,63,88,2.4,AU,1710002269
326,auki,-8.7676,160.7034,26.78,86,98,2.41,SB,1710002793
327,carolina beach,34.0352,-77.8936,18.38,96,100,1.34,US,1710002793
328,punta cardon,11.6581,-70.215,29.13,67,4,11.52,VE,1710002793
329,maceio,-9.6658,-35.7353,32.69,55,40,4.63,BR,1710002223
330,yuzhno-kurilsk,44.0306,145.8556,-3.68,59,100,1.88,RU,1710002220
331,maych'ew,12.7875,39.5422,14.56,93,91,3.76,ET,1710002793
332,coquimbo,-29.9533,-71.3436,20.85,73,0,6.17,CL,1710002003
333,crane,31.3974,-102.3501,7.55,48,8,4.46,US,1710002279
334,puerto baquerizo moreno,-0.9,-89.6,27.55,89,40,3.09,EC,1710002296
335,bodo,67.28,14.405,3.02,65,0,5.14,NO,1710002312
336,puerto deseado,-47.7503,-65.8938,17.4,31,34,10.76,AR,1710002794
337,amga,60.8953,131.9608,-19.14,100,100,0.61,RU,1710002315
338,tangalle,6.024,80.7911,25.73,73,100,1.56,LK,1710002794
339,esmeraldas,-19.7625,-44.3139,30.97,69,47,2.27,BR,1710002794
340,islamkot,24.6997,70.177,25.25,14,94,4.28,PK,1710002794
341,saint-georges,12.0564,-61.7485,29.82,74,20,7.2,GD,1710002795
342,okhotsk,59.3833,143.3,-21.86,98,85,2.84,RU,1710002227
343,tralee,52.2704,-9.7026,8.14,76,100,6.17,IE,1710002795
344,polyarnyy,69.1989,33.4478,0.44,89,100,6.77,RU,1710002795
345,lobito,-12.3481,13.5456,27.91,80,91,2.23,AO,1710002795
346,nowshera cantonment,33.9967,72.0131,17.32,30,82,2.58,PK,1710002795
347,vicksburg,32.3526,-90.8779,17.13,75,100,7.2,US,1710002795
348,niksic,42.7731,18.9445,7.04,98,100,2.82,ME,1710002796
349,that phanom,16.9364,104.7104,24.56,67,99,4.48,TH,1710002796
350,susuman,62.7833,148.1667,-25.01,95,100,0.89,RU,1710002321
351,lihue,21.9789,-159.3672,20.76,82,20,8.75,US,1710002235
352,port douglas,-16.4833,145.4667,26.48,88,100,7.55,AU,1710002796
353,hithadhoo,-0.6,73.0833,28.36,74,11,4.31,MV,1710002237
354,anandpur,31.25,76.5,16.58,38,3,1.87,IN,1710002797
355,mogocha,53.7333,119.7667,-14.72,97,100,1.54,RU,1710002797
356,columbus,39.9612,-82.9988,10.95,89,100,7.2,US,1710002797
357,atlantic beach,30.3344,-81.3987,30.12,67,20,9.26,US,1710002797
358,east end,34.5507,-92.341,10.4,79,100,0.45,US,1710002797
359,karaton,-6.3424,106.1045,22.81,97,100,0.86,ID,1710002797
360,freetown,8.484,-13.2299,27.98,73,57,3.74,SL,1710002798
361,gaur,26.7667,85.2667,18.68,31,1,3.19,NP,1710002798
362,quartu sant'elena,39.2419,9.1839,15.16,73,20,6.17,IT,1710002523
